Windows 7 SP 1
Version 6.1.7601 (cmd->"ver")
Kernel32.dll

Name	Address	Ordinal
GetConsoleScreenBufferInfoEx	0000000078D32FA0	443
GetConsoleSelectionInfo	0000000078D61010	444
GetConsoleTitleA	0000000078D8ACA0	445
GetConsoleTitleW	0000000078D3BC20	446
GetConsoleWindow	0000000078D608A0	447
GetCurrencyFormatA	0000000078D8EC70	448
GetCurrencyFormatEx	0000000078D6BD40	449
GetCurrencyFormatW	0000000078D6C680	450
GetCurrentActCtx	0000000078D68AC0	451
GetCurrentConsoleFont	0000000078D8A430	452
GetCurrentConsoleFontEx	0000000078D8A370	453
GetCurrentDirectoryA	0000000078D2E100	454
GetCurrentDirectoryW	0000000078D3B9B0	455
GetCurrentProcess	0000000078D35190	456
GetCurrentProcessId	0000000078D34EF0	457
GetCurrentProcessorNumber	0000000078DCA551	458
GetCurrentProcessorNumberEx	0000000078DCA574	459
GetCurrentThread	0000000078D333C0	460
GetCurrentThreadId	0000000078D33380	461
GetCurrentUmsThread	0000000078D69380	462
GetDateFormatA	0000000078DB0A60	463
GetDateFormatEx	0000000078DB0920	464
GetDateFormatW	0000000078D2B2F0	465
GetDefaultCommConfigA	0000000078DA7E60	466
GetDefaultCommConfigW	0000000078D9FCE0	467
GetDevicePowerState	0000000078D6D170	468
GetDiskFreeSpaceA	0000000078D6C5E0	469
GetDiskFreeSpaceExA	0000000078D6C5D0	470
GetDiskFreeSpaceExW	0000000078D2AC70	471
GetDiskFreeSpaceW	0000000078D6C5B0	472
GetDllDirectoryA	0000000078D83520	473
GetDllDirectoryW	0000000078D6DC00	474
GetDriveTypeA	0000000078D6C5A0	475
GetDriveTypeW	0000000078D3B220	476
GetDurationFormat	0000000078D9E870	477
GetDurationFormatEx	0000000078D8E0D0	478
GetDynamicTimeZoneInformation	0000000078D2C240	479
GetEnabledXStateFeatures	0000000078D67B10	480
GetEnvironmentStrings	0000000078D6C590	481
GetEnvironmentStringsA	0000000078D51290	482
GetEnvironmentStringsW	0000000078D361C0	483
GetEnvironmentVariableA	0000000078D35960	484
GetEnvironmentVariableW	0000000078D38550	485
GetEraNameCountedString	0000000078D6BD30	486
GetErrorMode	0000000078D6C580	487
GetExitCodeProcess	0000000078D30750	488
GetExitCodeThread	0000000078D305D0	489
GetExpandedNameA	0000000078DA8210	490
GetExpandedNameW	0000000078DAEAF0	491
GetFileAttributesA	0000000078D30880	492
GetFileAttributesExA	0000000078D6C570	493
GetFileAttributesExW	0000000078D2AC50	494
GetFileAttributesTransactedA	0000000078D85190	495
GetFileAttributesTransactedW	0000000078D70090	496
GetFileAttributesW	0000000078D3B200	497
GetFileBandwidthReservation	0000000078D701F0	498
GetFileInformationByHandle	0000000078D2F690	499
GetFileInformationByHandleEx	0000000078D312F0	500
GetFileMUIInfo	0000000078D6BD20	501
GetFileMUIPath	0000000078D6BCE0	502
GetFileSize	0000000078D2EE70	503
GetFileSizeEx	0000000078D290B0	504
GetFileTime	0000000078D248F0	505
GetFileType	0000000078D41790	506
GetFinalPathNameByHandleA	0000000078D6BCD0	507
GetFinalPathNameByHandleW	0000000078D29A00	508
GetFirmwareEnvironmentVariableA	0000000078D6EF20	509
GetFirmwareEnvironmentVariableW	0000000078D6EE60	510
GetFullPathNameA	0000000078D42000	511
GetFullPathNameTransactedA	0000000078D71890	512
GetFullPathNameTransactedW	0000000078D717D0	513
GetFullPathNameW	0000000078D36B80	514
GetGeoInfoA	0000000078D8E930	515
GetGeoInfoW	0000000078D8E550	516
GetHandleInformation	0000000078D93240	517
GetLargePageMinimum	0000000078D67FA0	518
GetLargestConsoleWindowSize	0000000078D61200	519
GetLastError	0000000078D41760	520
GetLocalTime	0000000078D2AE40	521
GetLocaleInfoA	0000000078D2F6B0	522
GetLocaleInfoEx	0000000078D235E0	523
GetLocaleInfoW	0000000078D388E0	524
GetLogicalDriveStringsA	0000000078D81D40	525
GetLogicalDriveStringsW	0000000078D6C560	526
GetLogicalDrives	0000000078D2ADE0	527
GetLogicalProcessorInformation	0000000078D6BCC0	528
GetLogicalProcessorInformationEx	0000000078DCA599	529
GetLongPathNameA	0000000078D93230	530
GetLongPathNameTransactedA	0000000078D911C0	531
GetLongPathNameTransactedW	0000000078D7D650	532
GetLongPathNameW	0000000078D3B630	533
GetMailslotInfo	0000000078D6DF50	534
GetMaximumProcessorCount	0000000078D932D0	535
GetMaximumProcessorGroupCount	0000000078D23100	536
GetModuleFileNameA	0000000078D35940	537
GetModuleFileNameW	0000000078D36BA0	538
GetModuleHandleA	0000000078D35A80	539
GetModuleHandleExA	0000000078D6C550	540
GetModuleHandleExW	0000000078D2AC30	541
GetModuleHandleW	0000000078D420C0	542
GetNLSVersion	0000000078D792B0	543
GetNLSVersionEx	0000000078D79250	544
GetNamedPipeAttribute	0000000078D6C660	545
GetNamedPipeClientComputerNameA	0000000078D6D910	546
GetNamedPipeClientComputerNameW	0000000078D6C650	547
GetNamedPipeClientProcessId	0000000078D6D8D0	548
GetNamedPipeClientSessionId	0000000078D6D890	549
GetNamedPipeHandleStateA	0000000078D939E0	550
GetNamedPipeHandleStateW	0000000078D93870	551
GetNamedPipeInfo	0000000078D6DA40	552
GetNamedPipeServerProcessId	0000000078D6D850	553
GetNamedPipeServerSessionId	0000000078D6D810	554
GetNativeSystemInfo	0000000078D2AC90	555
GetNextUmsListItem	0000000078D69350	556
GetNextVDMCommand	0000000078D7E6A0	557
GetNumaAvailableMemoryNode	0000000078D6D570	558
GetNumaAvailableMemoryNodeEx	0000000078D6D4F0	559
GetNumaHighestNodeNumber	0000000078D6D7B0	560
GetNumaNodeNumberFromHandle	0000000078D6D420	561
GetNumaNodeProcessorMask	0000000078D6D600	562
GetNumaNodeProcessorMaskEx	0000000078D6D580	563
GetNumaProcessorNode	0000000078D6D750	564
GetNumaProcessorNodeEx	0000000078D6D680	565
GetNumaProximityNode	0000000078D6D4C0	566
GetNumaProximityNodeEx	0000000078D6D470	567
GetNumberFormatA	0000000078D8F050	568
GetNumberFormatEx	0000000078D6BC90	569
GetNumberFormatW	0000000078D6C620	570
GetNumberOfConsoleFonts	0000000078D61280	571
GetNumberOfConsoleInputEvents	0000000078D2A950	572
GetNumberOfConsoleMouseButtons	0000000078D60F90	573
GetOEMCP	0000000078D3A9B0	574
GetOverlappedResult	0000000078D27E80	575
GetPhysicallyInstalledSystemMemory	0000000078D95710	576
GetPriorityClass	0000000078D6C540	577
GetPrivateProfileIntA	0000000078DA1AC0	578
GetPrivateProfileIntW	0000000078DA16E0	579
GetPrivateProfileSectionA	0000000078DA1810	580
GetPrivateProfileSectionNamesA	0000000078DA2240	581
GetPrivateProfileSectionNamesW	0000000078D25DE0	582
GetPrivateProfileSectionW	0000000078D25E10	583
GetPrivateProfileStringA	0000000078DA1930	584
GetPrivateProfileStringW	0000000078D262E0	585
GetPrivateProfileStructA	0000000078DA20B0	586
GetPrivateProfileStructW	0000000078DA1F00	587
GetProcAddress	0000000078D42020	588
GetProcessAffinityMask	0000000078D22970	589
GetProcessDEPPolicy	0000000078D6CB70	590
GetProcessGroupAffinity	0000000078D6CD60	591
GetProcessHandleCount	0000000078D6CBF0	592
GetProcessHeap	0000000078D419E0	593
GetProcessHeaps	0000000078D6C530	594
GetProcessId	0000000078D27870	595
